Time,RPM,Temperature,Speed,Diagnostic_Result
0,1500.0,90.0,60.0,PASS
1,1509.98,90.25,60.8,PASS
2,1519.87,90.5,61.59,PASS
3,1529.55,90.75,62.38,PASS
4,1538.94,90.99,63.15,PASS
5,1547.94,91.24,63.89,PASS
6,1556.46,91.48,64.62,PASS
7,1564.42,91.71,65.31,PASS
8,1571.74,91.95,65.97,PASS
9,1578.33,92.17,66.59,PASS
10,1584.15,92.4,67.17,PASS
11,1589.12,92.61,67.71,PASS
12,1593.2,92.82,68.19,PASS
13,1596.36,93.03,68.62,PASS
14,1598.54,93.22,69.0,PASS
15,1599.75,93.41,69.32,PASS
16,1599.96,93.59,69.58,PASS
17,1599.17,93.76,69.78,PASS
18,1597.38,93.92,69.91,PASS
19,1594.63,94.07,69.99,PASS
20,1590.93,94.21,70.0,PASS
21,1586.32,94.34,69.94,PASS
22,1580.85,94.46,69.82,PASS
23,1574.57,94.56,69.64,PASS
24,1567.55,94.66,69.4,PASS
25,1559.85,94.74,69.09,PASS
26,1551.55,94.82,68.73,PASS
27,1542.74,94.88,68.31,PASS
28,1533.5,94.93,67.84,PASS
29,1523.92,94.96,67.32,PASS
30,1514.11,94.99,66.75,PASS
31,1504.16,95.0,66.14,PASS
32,1494.16,95.0,65.49,PASS
33,1484.23,94.98,64.81,PASS
34,1474.45,94.96,64.09,PASS
35,1464.92,94.92,63.35,PASS
36,1455.75,94.87,62.59,PASS
37,1447.02,94.81,61.81,PASS
38,1438.81,94.73,61.01,PASS
39,1431.22,120.0,60.22,P0217 - Engine Overheat
40,1424.32,120.0,59.42,P0217 - Engine Overheat
41,1418.17,120.0,58.62,P0217 - Engine Overheat
42,1412.84,120.0,57.83,P0217 - Engine Overheat
43,1408.38,120.0,57.06,P0217 - Engine Overheat
44,1404.84,120.0,56.31,P0217 - Engine Overheat
45,1402.25,120.0,55.57,P0217 - Engine Overheat
46,1400.63,120.0,54.87,P0217 - Engine Overheat
47,1400.01,120.0,54.2,P0217 - Engine Overheat
48,1400.38,120.0,53.57,P0217 - Engine Overheat
49,1401.75,120.0,52.98,P0217 - Engine Overheat
50,1404.11,92.99,52.43,PASS
51,1407.42,92.79,51.93,PASS
52,1411.65,92.58,51.49,PASS
53,1416.77,92.36,51.1,PASS
54,1422.72,92.14,50.76,PASS
55,1429.45,91.91,50.48,PASS
56,1436.87,91.67,50.27,PASS
57,1444.93,91.44,50.12,PASS
58,1453.54,91.2,50.03,PASS
59,3200.0,90.95,50.0,P0016 - RPM Spike Detected
60,3200.0,90.71,50.04,P0016 - RPM Spike Detected
61,3200.0,90.46,50.14,P0016 - RPM Spike Detected
62,3200.0,90.21,50.3,P0016 - RPM Spike Detected
63,3200.0,89.96,50.53,P0016 - RPM Spike Detected
64,3200.0,89.71,50.82,P0016 - RPM Spike Detected
65,1521.51,89.46,51.17,PASS
66,1531.15,89.21,51.57,PASS
67,1540.48,88.97,52.02,PASS
68,1549.41,88.72,52.53,PASS
69,1557.84,88.48,120.0,P0219 - Vehicle Overspeed
70,1565.7,88.25,120.0,P0219 - Vehicle Overspeed
71,1572.9,88.01,120.0,P0219 - Vehicle Overspeed
72,1579.37,87.79,120.0,P0219 - Vehicle Overspeed
73,1585.04,87.57,120.0,P0219 - Vehicle Overspeed
74,1589.87,87.35,120.0,P0219 - Vehicle Overspeed
75,1593.8,87.14,120.0,P0219 - Vehicle Overspeed
76,1596.79,86.94,120.0,P0219 - Vehicle Overspeed
77,1598.82,86.75,120.0,P0219 - Vehicle Overspeed
78,1599.85,86.56,120.0,P0219 - Vehicle Overspeed
79,1599.89,86.38,120.0,P0219 - Vehicle Overspeed
80,1598.94,86.22,61.17,PASS
81,1596.99,86.06,61.96,PASS
82,1594.07,85.91,62.73,PASS
83,1590.22,85.77,63.49,PASS
84,1585.46,85.64,64.23,PASS
85,1579.85,85.53,64.94,PASS
86,1573.44,85.42,65.62,PASS
87,1566.3,85.32,66.26,PASS
88,1558.49,85.24,66.87,PASS
89,1550.1,85.17,67.43,PASS
90,1541.21,85.11,67.94,PASS
91,1531.91,85.07,68.4,PASS
92,1522.29,85.03,68.8,PASS
93,1512.45,85.01,69.16,PASS
94,1502.48,85.0,69.45,PASS
95,1492.48,85.0,69.68,PASS
96,1482.57,85.02,69.85,PASS
97,1472.82,85.05,69.96,PASS
98,1463.35,85.09,70.0,PASS
99,1454.25,85.14,69.98,PASS
100,1445.6,85.21,69.89,PASS
