Time,RPM,Temperature,Speed
0,1500.00,90.00,60.00
1,1509.98,90.25,60.80
2,1519.87,90.50,61.59
3,1529.55,90.75,62.38
4,1538.94,90.99,63.15
5,1547.94,91.24,63.89
6,1556.46,91.48,64.62
7,1564.42,91.71,65.31
8,1571.74,91.95,65.97
9,1578.33,92.17,66.59
10,1584.15,92.40,67.17
11,1589.12,92.61,67.71
12,1593.20,92.82,68.19
13,1596.36,93.03,68.62
14,1598.54,93.22,69.00
15,1599.75,93.41,69.32
16,1599.96,93.59,69.58
17,1599.17,93.76,69.78
18,1597.38,93.92,69.91
19,1594.63,94.07,69.99
20,1590.93,94.21,70.00
21,1586.32,94.34,69.94
22,1580.85,94.46,69.82
23,1574.57,94.56,69.64
24,1567.55,94.66,69.40
25,1559.85,94.74,69.09
26,1551.55,94.82,68.73
27,1542.74,94.88,68.31
28,1533.50,94.93,67.84
29,1523.92,94.96,67.32
30,1514.11,94.99,66.75
31,1504.16,95.00,66.14
32,1494.16,95.00,65.49
33,1484.23,94.98,64.81
34,1474.45,94.96,64.09
35,1464.92,94.92,63.35
36,1455.75,94.87,62.59
37,1447.02,94.81,61.81
38,1438.81,94.73,61.01
39,1431.22,120.00,60.22
40,1424.32,120.00,59.42
41,1418.17,120.00,58.62
42,1412.84,120.00,57.83
43,1408.38,120.00,57.06
44,1404.84,120.00,56.31
45,1402.25,120.00,55.57
46,1400.63,120.00,54.87
47,1400.01,120.00,54.20
48,1400.38,120.00,53.57
49,1401.75,120.00,52.98
50,1404.11,92.99,52.43
51,1407.42,92.79,51.93
52,1411.65,92.58,51.49
53,1416.77,92.36,51.10
54,1422.72,92.14,50.76
55,1429.45,91.91,50.48
56,1436.87,91.67,50.27
57,1444.93,91.44,50.12
58,1453.54,91.20,50.03
59,3200.00,90.95,50.00
60,3200.00,90.71,50.04
61,3200.00,90.46,50.14
62,3200.00,90.21,50.30
63,3200.00,89.96,50.53
64,3200.00,89.71,50.82
65,1521.51,89.46,51.17
66,1531.15,89.21,51.57
67,1540.48,88.97,52.02
68,1549.41,88.72,52.53
69,1557.84,88.48,120.00
70,1565.70,88.25,120.00
71,1572.90,88.01,120.00
72,1579.37,87.79,120.00
73,1585.04,87.57,120.00
74,1589.87,87.35,120.00
75,1593.80,87.14,120.00
76,1596.79,86.94,120.00
77,1598.82,86.75,120.00
78,1599.85,86.56,120.00
79,1599.89,86.38,120.00
80,1598.94,86.22,61.17
81,1596.99,86.06,61.96
82,1594.07,85.91,62.73
83,1590.22,85.77,63.49
84,1585.46,85.64,64.23
85,1579.85,85.53,64.94
86,1573.44,85.42,65.62
87,1566.30,85.32,66.26
88,1558.49,85.24,66.87
89,1550.10,85.17,67.43
90,1541.21,85.11,67.94
91,1531.91,85.07,68.40
92,1522.29,85.03,68.80
93,1512.45,85.01,69.16
94,1502.48,85.00,69.45
95,1492.48,85.00,69.68
96,1482.57,85.02,69.85
97,1472.82,85.05,69.96
98,1463.35,85.09,70.00
99,1454.25,85.14,69.98
100,1445.60,85.21,69.89
